Ref_number	Sample_number	Volcanic_zone	System	Eruption	Location	Phase	Phase_number	Point_number	Core_rim	Profile_distance	Pheno_xeno_nod_gm	Texture	Inclusion	Hostref	Machine	Lab	Analyst	Comment		Point	Date	Notes		SiO2	TiO2	Al203	Cr2O3	V2O3	Fe2O3	FeO	MnO	MgO	CaO	Na2O	K2O	P2O5	NiO	SO2	F	Cl	Total	SiO2_err	TiO2_err	Al2O3_err	Cr2O3_err	V2O3_err	Fe2O3_err	FeO_err	MnO_err	MgO_err	CaO_err	Na2O_err	K2O_err	P2O5_err	NiO_err	SO2_err	F_err	Cl_err	SiO2_dl	TiO2_dl	Al203_dl	Cr2O3_dl	V2O3_dl	Fe2O3_dl	FeO_dl	MnO_dl	MgO_dl	CaO_dl	Na2O_dl	K2O_dl	P2O5_dl	NiO_dl	SO2_dl	F_dl	Cl_dl
-1	CHRG10_5D	Snaefellsness	Snaefellsness	Hreggnasi	Hreggnasi	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	CHRG10_5D_ol8		23	03/11/2013	12:29:10	0	39.2671	0.0103	0.0468	0.0166	0	0	17.3702	0.2802	42.564	0.2599	0	0	0	0.1567	0	0	0	99.9719	0.4522	0.0216	0.0037	0.0247	0	0	0.7519	0.0244	0.674	0.0105	0	0	0	0.0146	0	0	0	241	257	40	290	0	0	971	204	4	64	0	0	0	145	0	0	0
-1	CHRG10_5D	Snaefellsness	Snaefellsness	Hreggnasi	Hreggnasi	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	CHRG10_5D_ol8		24	03/11/2013	12:35:55	0	39.3514	0	0.0496	0.0029	0	0	16.7347	0.2849	42.307	0.2551	0	0	0	0.1527	0	0	0	99.1382	0.4535	0.0225	0.0036	0.0257	0	0	0.7333	0.0241	0.6715	0.0103	0	0	0	0.0144	0	0	0	246	272	39	308	0	0	1040	198	425	63	0	0	0	144	0	0	0
-1	CHRG10_5D	Snaefellsness	Snaefellsness	Hreggnasi	Hreggnasi	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	CHRG10_5D_ol9		25	03/11/2013	12:42:45	0	39.1437	0.0049	0.0455	0.0105	0	0	17.2225	0.2832	42.1286	0.2753	0	0	0	0.1404	0	0	0	99.2546	0.4508	0.0224	0.0037	0.0257	0	0	0.7473	0.0245	0.6675	0.0109	0	0	0	0.0143	0	0	0	240	268	41	304	0	0	1034	203	4	64	0	0	0	146	0	0	0
-1	CHRG10_5D	Snaefellsness	Snaefellsness	Hreggnasi	Hreggnasi	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	CHRG10_5D_ol9		26	03/11/2013	12:49:32	0	39.1211	0.0215	0.0461	0.0213	0	0	17.5028	0.2631	42.0034	0.27	0	0	0	0.1532	0	0	0	99.4024	0.4504	0.0224	0.0038	0.0251	0	0	0.7563	0.0241	0.6654	0.0108	0	0	0	0.0145	0	0	0	240	264	41	293	0	0	995	208	424	64	0	0	0	144	0	0	0
-1	CHRG10_5D	Snaefellsness	Snaefellsness	Hreggnasi	Hreggnasi	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	CHRG10_5D_ol9		27	03/11/2013	12:56:19	0	39.4126	0.0334	0.0491	0.0329	0	0	17.253	0.2799	41.9557	0.2689	0	0	0	0.1381	0	0	0	99.4236	0.4542	0.0222	0.0038	0.0264	0	0	0.7528	0.0242	0.6665	0.0108	0	0	0	0.0143	0	0	0	248	258	41	304	0	0	1032	201	434	64	0	0	0	146	0	0	0
-1	CHRG10_5D	Snaefellsness	Snaefellsness	Hreggnasi	Hreggnasi	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	CHRG10_5D_ol10B		28	03/11/2013	13:03:11	0	39.3341	0.0083	0.0512	0	0	0	16.6674	0.2741	42.4389	0.2648	0	0	0	0.1546	0	0	0	99.1933	0.4533	0.0226	0.0038	0.0251	0	0	0.7307	0.0243	0.6735	0.0107	0	0	0	0.0146	0	0	0	247	269	41	304	0	0	1023	206	434	64	0	0	0	146	0	0	0
-1	CHRG10_5D	Snaefellsness	Snaefellsness	Hreggnasi	Hreggnasi	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	CHRG10_5D_ol10B		29	03/11/2013	13:10:02	0	39.3024	0.0076	0.053	0	0	0	17.3331	0.2607	42.6481	0.2558	0	0	0	0.14	0	0	0	100.0008	0.4525	0.0217	0.0037	0.0252	0	0	0.7509	0.0237	0.6752	0.0105	0	0	0	0.0144	0	0	0	241	259	40	304	0	0	1008	202	428	64	0	0	0	147	0	0	0
-1	CHRG10_5D	Snaefellsness	Snaefellsness	Hreggnasi	Hreggnasi	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	CHRG10_5D_ol10B		30	03/11/2013	13:16:47	0	39.5308	0.0185	0.0493	0.0262	0	0	16.791	0.2554	42.3529	0.2542	0	0	0	0.1641	0	0	0	99.4423	0.4551	0.0222	0.0037	0.0255	0	0	0.7302	0.0231	0.6706	0.0103	0	0	0	0.0144	0	0	0	240	262	40	295	0	0	982	199	426	63	0	0	0	141	0	0	0
-1	CHRG10_5D	Snaefellsness	Snaefellsness	Hreggnasi	Hreggnasi	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	CHRG10_5D_ol10A		31	03/11/2013	13:23:37	0	39.0943	0.0191	0.0488	0.0047	0	0	16.8712	0.2506	42.4418	0.2558	0	0	0	0.1589	0	0	0	99.1452	0.4502	0.0217	0.0037	0.026	0	0	0.7332	0.0235	0.672	0.0104	0	0	0	0.0147	0	0	0	240	255	40	311	0	0	973	205	430	64	0	0	0	145	0	0	0
-1	CHRG10_5D	Snaefellsness	Snaefellsness	Hreggnasi	Hreggnasi	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	CHRG10_5D_ol10A		32	03/11/2013	13:30:23	0	39.2825	0.0426	0.048	0.0075	0	0	16.7389	0.2701	42.6056	0.2565	0	0	0	0.1555	0	0	0	99.4072	0.4523	0.0215	0.0037	0.0253	0	0	0.7287	0.024	0.6745	0.0105	0	0	0	0.0147	0	0	0	241	246	41	301	0	0	1009	202	426	65	0	0	0	146	0	0	0
