FileName	:			09KS_04(A)_points.qtiDat																																																														
Signal(s)	Used	:		Fe	Ka		Si	Ka		Cr	Ka		Mg	Ka		Ti	Ka		Al	Ka		Mn	Ka		Ni	Ka		Ca	Ka																																					
37	/	1	0		0.4505	0.6151	0.0272	1.4151	0.0221	0.0039	0.0192	0.0159	0.0107		-17155	367	50	09KS_04(A)_ol13		37	31/10/2013	19:00:44																																												
38	/	1	0		0.4469	0.6178	0.0276	1.4176	0.0221	0.0039	0.0191	0.0159	0.0108		-17100	148	51	09KS_04(A)_ol13		38	31/10/2013	19:07:26																																												
39	/	1	0		0.4488	0.6201	0.0273	1.4128	0.0218	0.0039	0.019	0.0157	0.0107		-16968	154	52	09KS_04(A)_ol13		39	31/10/2013	19:14:13																																												
40	/	1	0		0.4501	0.621	0.0273	1.422	0.0222	0.0039	0.0195	0.0158	0.0108		-14404	962	43	09KS_04(A)_ol14		40	31/10/2013	19:20:57																																												
41	/	1	0		0.4393	0.6182	0.0271	1.4156	0.0219	0.0038	0.0192	0.016	0.0109		-14382	863	43	09KS_04(A)_ol14		41	31/10/2013	19:27:43																																												
42	/	1	0		0.4552	0.6187	0.0263	1.4175	0.0216	0.0039	0.0191	0.0158	0.0107		-14521	946	43	09KS_04(A)_ol14		42	31/10/2013	19:34:26																																												
43	/	1	0		0.4486	0.6164	0.0275	1.4142	0.0218	0.0039	0.019	0.0159	0.0109		-10188	652	26	09KS_04(A)_ol15		43	31/10/2013	19:41:11																																												
44	/	1	0		0.4537	0.618	0.0272	1.421	0.022	0.0039	0.0188	0.0159	0.011		-10062	639	27	09KS_04(A)_ol15		44	31/10/2013	19:47:56																																												
45	/	1	0		0.4523	0.6197	0.0272	1.4196	0.022	0.0039	0.0191	0.0157	0.0108		-10260	423	26	09KS_04(A)_ol15		45	31/10/2013	19:54:42																																												
46	/	1	0		0.4759	0.6163	0.0266	1.3983	0.0225	0.004	0.0193	0.0159	0.0108		-6113	1294	13	09KS_04(A)_ol16		46	31/10/2013	20:01:29																																												
47	/	1	0		0.4965	0.6138	0.0275	1.383	0.0224	0.0039	0.0196	0.0158	0.0108		-6039	1398	13	09KS_04(A)_ol16		47	31/10/2013	20:08:15																																												
48	/	1	0		0.4613	0.6177	0.0264	1.4026	0.022	0.0039	0.0192	0.0159	0.0109		-6054	1213	13	09KS_04(A)_ol16		48	31/10/2013	20:15:02																																												
49	/	1	0		0.4522	0.6173	0.0272	1.4174	0.022	0.0039	0.0192	0.0158	0.0107		-9754	-3090	15	09KS_04(A)_ol17		49	31/10/2013	20:21:47																																												
50	/	1	0		0.4448	0.6188	0.0271	1.4191	0.022	0.0039	0.0188	0.0158	0.0109		-9638	-3201	18	09KS_04(A)_ol17		50	31/10/2013	20:28:31																																												
51	/	1	0		0.4438	0.6195	0.0274	1.4152	0.0216	0.0039	0.0188	0.0158	0.0108		-9515	-3139	19	09KS_04(A)_ol17		51	31/10/2013	20:35:17																																												
52	/	1	0		0.4907	0.6162	0.0265	1.3862	0.0221	0.0036	0.0194	0.0156	0.0103		-13027	-3205	31	09KS_04(A)_ol18		52	31/10/2013	20:42:00																																												
53	/	1	0		0.4842	0.6153	0.026	1.3773	0.0217	0.0036	0.0196	0.0154	0.0102		-12915	-3191	31	09KS_04(A)_ol18		53	31/10/2013	20:48:44																																												
54	/	1	0		0.4938	0.613	0.0273	1.3807	0.0216	0.0036	0.02	0.0155	0.0098		-12871	-3285	31	09KS_04(A)_ol18		54	31/10/2013	20:55:33																																												
55	/	1	0		0.4493	0.6164	0.0279	1.4149	0.0222	0.0039	0.0195	0.0157	0.0108		-16514	-3442	40	09KS_04(A)_ol19		55	31/10/2013	21:02:18																																												
56	/	1	0		0.4451	0.6173	0.0276	1.4131	0.0218	0.0039	0.0191	0.0157	0.0107		-16364	-3411	40	09KS_04(A)_ol19		56	31/10/2013	21:09:03																																												
57	/	1	0		0.445	0.62	0.0278	1.4229	0.0216	0.004	0.0191	0.0158	0.0111		-16442	-3541	44	09KS_04(A)_ol19		57	31/10/2013	21:15:47																																												
58	/	1	0		0.4488	0.6168	0.027	1.4127	0.0221	0.0038	0.0192	0.0156	0.0113		-19339	-3739	53	09KS_04(A)_ol20		58	31/10/2013	21:22:31																																												
59	/	1	0		0.4459	0.6185	0.0273	1.4176	0.0219	0.0038	0.019	0.0159	0.0112		-19215	-3729	53	09KS_04(A)_ol20		59	31/10/2013	21:29:18																																												
60	/	1	0		0.4454	0.6185	0.0264	1.4177	0.0223	0.0039	0.0192	0.0155	0.0117		-19203	-3867	53	09KS_04(A)_ol20		60	31/10/2013	21:36:02																																												
61	/	1	0		0.4557	0.6209	0.027	1.4049	0.0214	0.0039	0.0192	0.0157	0.0109		-21874	-3688	62	09KS_04(A)_ol21		61	31/10/2013	21:42:45																																												
62	/	1	0		0.4512	0.6214	0.0265	1.422	0.0223	0.0038	0.0189	0.0154	0.0108		-21811	-3671	61	09KS_04(A)_ol21		62	31/10/2013	21:49:30																																												
63	/	1	0		0.4512	0.6208	0.0268	1.4191	0.0223	0.0039	0.0193	0.0157	0.0109		-21838	-3745	62	09KS_04(A)_ol21		63	31/10/2013	21:56:18																																												
