Ref_number	Sample_number	Volcanic_zone	System	Eruption	Location	Phase	Phase_number	Point_number	Core_rim	Profile_distance	Pheno_xeno_nod_gm	Texture	Inclusion	Hostref	Machine	Lab	Analyst	Comment		Point	Date	Notes		SiO2	TiO2	Al203	Cr2O3	V2O3	Fe2O3	FeO	MnO	MgO	CaO	Na2O	K2O	P2O5	NiO	SO2	F	Cl	Total	SiO2_err	TiO2_err	Al2O3_err	Cr2O3_err	V2O3_err	Fe2O3_err	FeO_err	MnO_err	MgO_err	CaO_err	Na2O_err	K2O_err	P2O5_err	NiO_err	SO2_err	F_err	Cl_err	SiO2_dl	TiO2_dl	Al203_dl	Cr2O3_dl	V2O3_dl	Fe2O3_dl	FeO_dl	MnO_dl	MgO_dl	CaO_dl	Na2O_dl	K2O_dl	P2O5_dl	NiO_dl	SO2_dl	F_dl	Cl_dl
-1	STAP01_13G_B	WVZ	Reykjanesskagi	Stapafell	Stapafell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	STAP01_13G(B)_ol8		23	09/11/2013	12:53:29	0	40.0602	0.006	0.0391	0.0525	0	0	14.5107	0.2048	45.4007	0.2597	0	0	0.0077	0.2637	0	0	0	100.8051	0.4341	0.0251	0.0124	0.044	0	0	0.5301	0.0239	0.6506	0.0172	0	0	0	0.0252	0	0	0	249	300	138	488	0	0	990	237	361	122	0	0	0	233	0	0	0
-1	STAP01_13G_B	WVZ	Reykjanesskagi	Stapafell	Stapafell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	STAP01_13G(B)_ol8		24	09/11/2013	13:02:01	0	40.2683	0.0016	0.0228	0.0182	0	0	14.2668	0.2327	45.0564	0.2472	0	0	0.0033	0.2492	0	0	0	100.3667	0.4362	0.0256	0.0121	0.0422	0	0	0.5232	0.0242	0.6458	0.0168	0	0	0	0.0249	0	0	0	245	307	139	496	0	0	969	233	363	121	0	0	0	234	0	0	0
-1	STAP01_13G_B	WVZ	Reykjanesskagi	Stapafell	Stapafell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	STAP01_13G(B)_ol9		25	09/11/2013	13:10:32	0	40.2752	0.034	0.0471	0.0553	0	0	13.3304	0.1896	46.3434	0.2957	0	0	0.0266	0.2554	0	0	0	100.8527	0.4364	0.0252	0.0124	0.0443	0	0	0.4976	0.0237	0.6635	0.0182	0	0	0	0.0248	0	0	0	251	292	136	488	0	0	923	239	367	121	0	0	0	231	0	0	0
-1	STAP01_13G_B	WVZ	Reykjanesskagi	Stapafell	Stapafell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	STAP01_13G(B)_ol9		26	09/11/2013	13:19:05	0	40.406	0.015	0.0615	0.0308	0	0	13.638	0.2126	45.7939	0.2904	0	0	0.005	0.2262	0	0	0	100.6795	0.4378	0.0256	0.0123	0.047	0	0	0.5065	0.024	0.6559	0.018	0	0	0	0.0244	0	0	0	249	304	130	545	0	0	978	236	363	121	0	0	0	235	0	0	0
-1	STAP01_13G_B	WVZ	Reykjanesskagi	Stapafell	Stapafell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	STAP01_13G(B)_ol9		27	09/11/2013	13:27:36	0	40.3486	0.0212	0.0417	0.0656	0	0	13.4897	0.1987	46.0284	0.2751	0	0	0.0006	0.2374	0	0	0	100.707	0.4371	0.0257	0.0128	0.0442	0	0	0.5013	0.0248	0.6591	0.0181	0	0	0	0.0254	0	0	0	250	302	142	478	0	0	897	249	367	125	0	0	0	242	0	0	0
-1	STAP01_13G_B	WVZ	Reykjanesskagi	Stapafell	Stapafell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	STAP01_13G(B)_ol10		28	09/11/2013	13:36:10	0	40.2691	0	0.042	0.0548	0	0	13.5496	0.2067	46.1794	0.263	0	0	0.0178	0.2249	0	0	0	100.8073	0.4363	0.0265	0.0124	0.044	0	0	0.5039	0.0236	0.6613	0.0173	0	0	0	0.0242	0	0	0	249	319	138	486	0	0	955	232	369	122	0	0	0	232	0	0	0
-1	STAP01_13G_B	WVZ	Reykjanesskagi	Stapafell	Stapafell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	STAP01_13G(B)_ol10		29	09/11/2013	13:44:44	0	40.3394	0	0.0519	0.0696	0	0	13.5164	0.1993	46.2513	0.2678	0	0	0.0056	0.2244	0	0	0	100.9255	0.437	0.0263	0.0126	0.0469	0	0	0.5017	0.0244	0.6621	0.0178	0	0	0	0.0247	0	0	0	249	3	137	512	0	0	906	243	361	125	0	0	0	238	0	0	0
-1	STAP01_13G_B	WVZ	Reykjanesskagi	Stapafell	Stapafell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	STAP01_13G(B)_ol10		30	09/11/2013	13:53:17	0	40.3393	0	0.052	0.0471	0	0	13.0389	0.1941	45.8975	0.2753	0	0	0.0181	0.2405	0	0	0	100.1028	0.4371	0.0256	0.0126	0.0446	0	0	0.4899	0.0235	0.6573	0.0176	0	0	0	0.0244	0	0	0	249	313	137	500	0	0	953	234	365	121	0	0	0	2	0	0	0
-1	STAP01_13G_B	WVZ	Reykjanesskagi	Stapafell	Stapafell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	STAP01_13G(B)_ol11		31	09/11/2013	14:01:51	0	40.3362	0.0188	0.0353	0.0295	0	0	13.9194	0.212	45.4737	0.2591	0	0	0	0.2073	0	0	0	100.4914	0.437	0.0258	0.0124	0.04	0	0	0.5136	0.0252	0.6516	0.0176	0	0	0	0.0245	0	0	0	251	304	139	457	0	0	930	252	366	127	0	0	0	240	0	0	0
-1	STAP01_13G_B	WVZ	Reykjanesskagi	Stapafell	Stapafell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	STAP01_13G(B)_ol11		32	09/11/2013	14:10:23	0	40.3582	0.0107	0.0311	0	0	0	13.7273	0.1831	45.3703	0.2635	0	0	0	0.2161	0	0	0	100.1603	0.4372	0.0259	0.0124	0.041	0	0	0.5087	0.0248	0.6501	0.0178	0	0	0	0.0246	0	0	0	251	308	140	500	0	0	965	253	359	126	0	0	0	238	0	0	0
