Ref_number	Sample_number	Volcanic_zone	System	Eruption	Location	Phase	Phase_number	Point_number	Core_rim	Profile_distance	Pheno_xeno_nod_gm	Texture	Inclusion	Hostref	Machine	Lab	Analyst	Comment	Point	Date	Notes			SiO2	TiO2	Al203	Cr2O3	V2O3	Fe2O3	FeO	MnO	MgO	CaO	Na2O	K2O	P2O5	NiO	SO2	F	Cl	Total	SiO2_err	TiO2_err	Al2O3_err	Cr2O3_err	V2O3_err	Fe2O3_err	FeO_err	MnO_err	MgO_err	CaO_err	Na2O_err	K2O_err	P2O5_err	NiO_err	SO2_err	F_err	Cl_err	SiO2_dl	TiO2_dl	Al203_dl	Cr2O3_dl	V2O3_dl	Fe2O3_dl	FeO_dl	MnO_dl	MgO_dl	CaO_dl	Na2O_dl	K2O_dl	P2O5_dl	NiO_dl	SO2_dl	F_dl	Cl_dl
-1	STAP01_13G_A	WVZ	Reykjanesskagi	Stapafell	Stapafell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	100.0653	3930	-28620	0	1	0	40.2184	0	0	0	45.4389	0.0553	0	0.0245	0	0	0	13.6168	0	0	0	0.0439	1	0	0.4632	0	0	0	0.7175	0.0271	0	0.0219	0	0	0	0.6147	0	0	0	1	0	246	0	0	0	440	302	0	256	0	0	0	883	0	0	0		
-1	STAP01_13G_A	WVZ	Reykjanesskagi	Stapafell	Stapafell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	100.0319	3980	-28798	0	1	0	40.2017	0	0	0	45.2891	0.0393	0	0.0115	0	0	0	13.7367	0	0	0	0.0528	1	0	0.463	0	0	0	0.7152	0.0259	0	0.0219	0	0	0	0.6198	0	0	0	1	0	248	0	0	0	437	295	0	260	0	0	0	950	0	0	0		
-1	STAP01_13G_A	WVZ	Reykjanesskagi	Stapafell	Stapafell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	99.4786	4156	-28667	0	1	0	40.229	0	0	0	45.221	0.0433	0	0.002	0	0	0	13.239	0	0	0	0.0465	1	0	0.463	0	0	0	0.713	0.0253	0	0.0219	0	0	0	0.5978	0	0	0	1	0	241	0	0	0	430	286	0	263	0	0	0	940	0	0	0		
-1	STAP01_13G_A	WVZ	Reykjanesskagi	Stapafell	Stapafell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	99.6342	8307	-27785	0	1	0	40.3628	0	0	0	46.4242	0.062	0	0.0201	0	0	0	11.9955	0	0	0	0.0504	1	0	0.465	0	0	0	0.7325	0.0282	0	0.0222	0	0	0	0.5568	0	0	0	1	0	248	0	0	0	443	313	0	262	0	0	0	988	0	0	0		
-1	STAP01_13G_A	WVZ	Reykjanesskagi	Stapafell	Stapafell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	99.7855	8646	-27773	0	1	0	40.4913	0	0	0	46.4771	0.0572	0	0	0	0	0	12.0186	0	0	0	0.0488	1	0	0.4664	0	0	0	0.7333	0.0277	0	0.0225	0	0	0	0.5569	0	0	0	1	0	247	0	0	0	449	308	0	277	0	0	0	923	0	0	0		
-1	STAP01_13G_A	WVZ	Reykjanesskagi	Stapafell	Stapafell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	100.2293	8731	-27926	0	1	0	40.5663	0	0	0	46.6593	0.0691	0	0.0013	0	0	0	12.1871	0	0	0	0.0469	1	0	0.4674	0	0	0	0.7365	0.0282	0	0.0225	0	0	0	0.5642	0	0	0	1	0	251	0	0	0	439	309	0	270	0	0	0	872	0	0	0		
-1	STAP01_13G_A	WVZ	Reykjanesskagi	Stapafell	Stapafell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	100.0392	12418	-26429	0	1	0	40.0081	0	0	0	45.7514	0.0485	0	0	0	0	0	13.4375	0	0	0	0.0469	1	0	0.4611	0	0	0	0.723	0.0285	0	0.0224	0	0	0	0.6116	0	0	0	1	0	248	0	0	0	437	322	0	271	0	0	0	984	0	0	0		
-1	STAP01_13G_A	WVZ	Reykjanesskagi	Stapafell	Stapafell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	99.6969	12703	-26189	0	1	0	39.9737	0	0	0	45.4105	0.0573	0	0.0088	0	0	0	13.4732	0	0	0	0.0469	1	0	0.4604	0	0	0	0.717	0.0271	0	0.0222	0	0	0	0.61	0	0	0	1	0	246	0	0	0	436	302	0	264	0	0	0	963	0	0	0		
-1	STAP01_13G_A	WVZ	Reykjanesskagi	Stapafell	Stapafell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	99.9175	12687	-25962	0	1	0	40.0176	0	0	0	45.4577	0.0799	0	0	0	0	0	13.587	0	0	0	0.0505	1	0	0.4606	0	0	0	0.7165	0.0265	0	0.0217	0	0	0	0.6102	0	0	0	1	0	240	0	0	0	439	284	0	261	0	0	0	926	0	0	0		
-1	STAP01_13G_A	WVZ	Reykjanesskagi	Stapafell	Stapafell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	99.7752	15860	-25097	0	1	0	40.0174	0	0	0	45.1515	0.0228	0	0.0069	0	0	0	13.8455	0	0	0	0.0444	1	0	0.4612	0	0	0	0.7142	0.0263	0	0.0224	0	0	0	0.6267	0	0	0	1	0	249	0	0	0	452	307	0	268	0	0	0	942	0	0	0		
-1	STAP01_13G_A	WVZ	Reykjanesskagi	Stapafell	Stapafell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	99.6304	16113	-25060	0	1	0	40.0754	0	0	0	45.311	0.0295	0	0.0075	0	0	0	13.4695	0	0	0	0.0455	1	0	0.4613	0	0	0	0.7145	0.026	0	0.0215	0	0	0	0.6065	0	0	0	1	0	243	0	0	0	429	300	0	257	0	0	0	916	0	0	0		
-1	STAP01_13G_A	WVZ	Reykjanesskagi	Stapafell	Stapafell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	99.8862	16278	-24867	0	1	0	40.1531	0	0	0	45.2481	0.0265	0	0	0	0	0	13.7088	0	0	0	0.0446	1	0	0.4621	0	0	0	0.7135	0.0264	0	0.0218	0	0	0	0.615	0	0	0	1	0	241	0	0	0	431	307	0	263	0	0	0	912	0	0	0		
-1	STAP01_13G_A	WVZ	Reykjanesskagi	Stapafell	Stapafell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	99.6548	19889	-23582	0	1	0	39.9295	0	0	0	45.1045	0.0703	0	0.0105	0	0	0	13.731	0	0	0	0.0466	1	0	0.4602	0	0	0	0.7136	0.0274	0	0.0222	0	0	0	0.6221	0	0	0	1	0	251	0	0	0	450	298	0	264	0	0	0	903	0	0	0		
-1	STAP01_13G_A	WVZ	Reykjanesskagi	Stapafell	Stapafell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	99.306	20244	-24156	0	1	0	39.6502	0	0	0	45.1153	0.0808	0	0.0414	0	0	0	13.6321	0	0	0	0.0492	1	0	0.4571	0	0	0	0.7138	0.0272	0	0.0223	0	0	0	0.6192	0	0	0	1	0	251	0	0	0	453	290	0	256	0	0	0	979	0	0	0		
-1	STAP01_13G_A	WVZ	Reykjanesskagi	Stapafell	Stapafell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	99.8847	20386	-24107	0	1	0	40.0057	0	0	0	44.591	0.0438	0	0.0087	0	0	0	14.426	0	0	0	0.0561	1	0	0.4605	0	0	0	0.7039	0.0262	0	0.0213	0	0	0	0.6424	0	0	0	1	0	241	0	0	0	432	296	0	253	0	0	0	943	0	0	0		
-1	STAP01_13G_A	WVZ	Reykjanesskagi	Stapafell	Stapafell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	99.6586	21773	-21828	0	1	0	40.3763	0	0	0	46.8258	0.0652	0	0.0173	0	0	0	11.5829	0	0	0	0.0525	1	0	0.4647	0	0	0	0.7366	0.0266	0	0.0216	0	0	0	0.5355	0	0	0	1	0	244	0	0	0	428	292	0	255	0	0	0	916	0	0	0		
-1	STAP01_13G_A	WVZ	Reykjanesskagi	Stapafell	Stapafell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	100.0119	21972	-21953	0	1	0	40.4859	0	0	0	46.9419	0.046	0	0.0175	0	0	0	11.7267	0	0	0	0.0485	1	0	0.4659	0	0	0	0.7386	0.0271	0	0.0214	0	0	0	0.5416	0	0	0	1	0	244	0	0	0	428	307	0	252	0	0	0	920	0	0	0		
-1	STAP01_13G_A	WVZ	Reykjanesskagi	Stapafell	Stapafell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	99.6	21947	-22358	0	1	0	40.4986	0	0	0	46.5788	0.0749	0	0	0	0	0	11.6477	0	0	0	0.0521	1	0	0.4666	0	0	0	0.7351	0.0284	0	0.0219	0	0	0	0.5442	0	0	0	1	0	250	0	0	0	452	309	0	265	0	0	0	932	0	0	0		
