Ref_number	Sample_number	Volcanic_zone	System	Eruption	Location	Phase	Phase_number	Point_number	Core_rim	Profile_distance	Pheno_xeno_nod_gm	Texture	Inclusion	Hostref	Machine	Lab	Analyst	Comment	Point	Date	Notes			SiO2	TiO2	Al203	Cr2O3	V2O3	Fe2O3	FeO	MnO	MgO	CaO	Na2O	K2O	P2O5	NiO	SO2	F	Cl	Total	SiO2_err	TiO2_err	Al2O3_err	Cr2O3_err	V2O3_err	Fe2O3_err	FeO_err	MnO_err	MgO_err	CaO_err	Na2O_err	K2O_err	P2O5_err	NiO_err	SO2_err	F_err	Cl_err	SiO2_dl	TiO2_dl	Al203_dl	Cr2O3_dl	V2O3_dl	Fe2O3_dl	FeO_dl	MnO_dl	MgO_dl	CaO_dl	Na2O_dl	K2O_dl	P2O5_dl	NiO_dl	SO2_dl	F_dl	Cl_dl
-1	09KS_04_B	NVZ	kistufell	kistufell	kistufell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	100.045	-19289	-316	0	0	0	40.7969	0	0	0	46.6495	0.029	0	0.0003	0	0	0	11.6981	0	0	0	0.0628	0	0	0.4694	0	0	0	0.734	0.0264	0	0.0213	0	9	0	0.5392	0	0	0	0	0	240	0	0	0	43	305	0	256	0	9	0	869	0	0	0		
-1	09KS_04_B	NVZ	kistufell	kistufell	kistufell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	99.3402	-19131	-218	0	1	0	40.6457	0	0	0	46.1666	0.0541	0	0	0	0	0	11.6272	0	0	0	0.0697	1	0	0.468	0	0	0	0.728	0.0275	0	0.0218	0	9	0	0.5407	0	0	0	1	0	247	0	0	0	433	308	0	268	0	9	0	92	0	0	0		
-1	09KS_04_B	NVZ	kistufell	kistufell	kistufell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	99.7211	-19035	-360	0	1	0	40.7062	0	0	0	46.6181	0.0492	0	0.0147	0	0	0	11.482	0	0	0	0.0629	1	0	0.469	0	0	0	0.7357	0.0273	0	0.0218	0	9	0	0.5378	0	0	0	1	0	249	0	0	0	451	307	0	257	0	9	0	90	0	0	0		
-1	09KS_04_B	NVZ	kistufell	kistufell	kistufell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	99.4366	-15527	208	0	1	0	40.6304	0	0	0	46.5149	0.0175	0	0	0	0	0	11.48	0	0	0	0.0441	1	0	0.4681	0	0	0	0.7341	0.027	0	0.022	0	9	0	0.5385	0	0	0	1	0	250	0	0	0	451	317	0	267	0	9	0	981	0	0	0		
-1	09KS_04_B	NVZ	kistufell	kistufell	kistufell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	99.7029	-15391	240	0	1	0	40.7898	0	0	0	46.665	0.0284	0	0.0094	0	0	0	11.4197	0	0	0	0.0488	1	0	0.4694	0	0	0	0.7344	0.0258	0	0.021	0	9	0	0.5298	0	0	0	1	0	242	0	0	0	440	298	0	250	0	9	0	894	0	0	0		
-1	09KS_04_B	NVZ	kistufell	kistufell	kistufell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	99.5509	-15377	-15	0	1	0	40.4801	0	0	0	46.0755	0.017	0	0	0	0	0	12.2014	0	0	0	0.0482	1	0	0.4663	0	0	0	0.7272	0.0262	0	0.0218	0	9	0	0.5636	0	0	0	1	0	252	0	0	0	44	308	0	264	0	9	0	923	0	0	0		
-1	09KS_04_B	NVZ	kistufell	kistufell	kistufell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	100.0132	-12294	545	0	1	0	40.76	0	0	0	46.8862	0.0324	0	0.0093	0	0	0	11.4289	0	0	0	0.0643	1	0	0.4696	0	0	0	0.7398	0.0275	0	0.022	0	9	0	0.5355	0	0	0	1	0	251	0	0	0	44	31	0	261	0	9	0	846	0	0	0		
-1	09KS_04_B	NVZ	kistufell	kistufell	kistufell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	99.4935	-12138	621	0	1	0	40.845	0	0	0	46.6184	0.0613	0	0.0264	0	0	0	11.0921	0	0	0	0.0568	1	0	0.4704	0	0	0	0.7352	0.0264	0	0.0219	0	9	0	0.5224	0	0	0	1	0	249	0	0	0	440	290	0	256	0	9	0	932	0	0	0		
-1	09KS_04_B	NVZ	kistufell	kistufell	kistufell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	99.7089	-12172	463	0	1	0	40.7593	0	0	0	46.7658	0.0559	0	0.0221	0	0	0	11.2765	0	0	0	0.0588	1	0	0.4694	0	0	0	0.7373	0.0273	0	0.0221	0	0	0	0.5291	0	0	0	1	0	250	0	0	0	441	304	0	25	0	0	0	945	0	0	0		
-1	09KS_04_B	NVZ	kistufell	kistufell	kistufell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	99.3621	-9728	918	0	1	0	40.7268	0	0	0	46.3139	0.0591	0	0.0074	0	0	0	11.4042	0	0	0	0.069	1	0	0.4686	0	0	0	0.729	0.0262	0	0.0214	0	9	0	0.5286	0	0	0	1	0	242	0	0	0	429	289	0	255	0	9	0	883	0	0	0		
-1	09KS_04_B	NVZ	kistufell	kistufell	kistufell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	99.7896	-9829	798	0	1	0	40.7981	0	0	0	46.68	0.0485	0	0.001	0	0	0	11.4294	0	0	0	0.0627	1	0	0.47	0	0	0	0.7365	0.0269	0	0.0218	0	9	0	0.536	0	0	0	1	0	251	0	0	0	450	302	0	262	0	9	0	942	0	0	0		
-1	09KS_04_B	NVZ	kistufell	kistufell	kistufell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	99.9742	-9829	759	0	1	0	40.7242	0	0	0	46.9931	0.0742	0	0	0	0	0	11.3228	0	0	0	0.0601	1	0	0.4689	0	0	0	0.7403	0.0269	0	0.0216	0	9	0	0.5294	0	0	0	1	0	245	0	0	0	439	291	0	261	0	9	0	937	0	0	0		
-1	09KS_04_B	NVZ	kistufell	kistufell	kistufell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	99.7088	-6723	780	0	1	0	40.7219	0	0	0	46.7417	0.0333	0	0.0168	0	0	0	11.34	0	0	0	0.0617	1	0	0.4686	0	0	0	0.7354	0.0264	0	0.0217	0	9	0	0.5264	0	0	0	1	0	242	0	0	0	438	303	0	257	0	9	0	903	0	0	0		
-1	09KS_04_B	NVZ	kistufell	kistufell	kistufell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	99.6767	-6518	777	0	1	0	40.6649	0	0	0	46.4935	0.056	0	0.0126	0	0	0	11.6123	0	0	0	0.0579	1	0	0.4685	0	0	0	0.7338	0.0271	0	0.0218	0	9	0	0.5423	0	0	0	1	0	249	0	0	0	447	301	0	259	0	9	0	901	0	0	0		
-1	09KS_04_B	NVZ	kistufell	kistufell	kistufell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	99.5711	-6518	453	0	1	0	40.6276	0	0	0	46.6716	0.06	0	0.0045	0	0	0	11.3388	0	0	0	0.0627	1	0	0.4681	0	0	0	0.7365	0.0282	0	0.0224	0	9	0	0.5323	0	0	0	1	0	249	0	0	0	442	313	0	268	0	9	0	893	0	0	0		
-1	09KS_04_B	NVZ	kistufell	kistufell	kistufell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	99.7694	-9265	-5041	0	1	0	40.6821	0	0	0	46.757	0.036	0	0	0	0	0	11.4367	0	0	0	0.0649	1	0	0.4685	0	0	0	0.7372	0.027	0	0.022	0	9	0	0.5346	0	0	0	1	0	248	0	0	0	444	309	0	266	0	9	0	910	0	0	0		
-1	09KS_04_B	NVZ	kistufell	kistufell	kistufell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	100.0196	-9313	-5149	0	1	0	40.9665	0	0	0	46.8873	0.0369	0	0.0194	0	0	0	11.2506	0	0	0	0.06	1	0	0.4719	0	0	0	0.7397	0.0276	0	0.0222	0	9	0	0.5291	0	0	0	1	0	251	0	0	0	449	316	0	261	0	9	0	899	0	0	0		
-1	09KS_04_B	NVZ	kistufell	kistufell	kistufell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	99.8805	-9157	-5137	0	1	0	40.8313	0	0	0	46.8196	0.0412	0	0	0	0	0	11.3473	0	0	0	0.0615	1	0	0.4698	0	0	0	0.7365	0.027	0	0.0217	0	9	0	0.5261	0	0	0	1	0	241	0	0	0	431	308	0	263	0	9	0	847	0	0	0		
-1	09KS_04_B	NVZ	kistufell	kistufell	kistufell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	99.6801	-12198	-5145	0	1	0	40.7633	0	0	0	46.5559	0.069	0	0	0	0	0	11.4517	0	0	0	0.0548	1	0	0.4695	0	0	0	0.7343	0.0273	0	0.0221	0	9	0	0.5356	0	0	0	1	0	250	0	0	0	453	298	0	268	0	9	0	927	0	0	0		
-1	09KS_04_B	NVZ	kistufell	kistufell	kistufell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	99.3623	-12223	-5325	0	1	0	40.6322	0	0	0	46.5919	0.0558	0	0.0071	0	0	0	11.2584	0	0	0	0.0584	1	0	0.4681	0	0	0	0.7351	0.027	0	0.0223	0	9	0	0.5293	0	0	0	1	0	252	0	0	0	446	300	0	266	0	9	0	924	0	0	0		
-1	09KS_04_B	NVZ	kistufell	kistufell	kistufell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	99.5322	-12143	-5304	0	1	0	40.5997	0	0	0	46.7214	0.0607	0	0	0	0	0	11.309	0	0	0	0.062	1	0	0.4672	0	0	0	0.7351	0.0255	0	0.0221	0	9	0	0.5256	0	0	0	1	0	243	0	0	0	435	279	0	266	0	9	0	915	0	0	0		
-1	09KS_04_B	NVZ	kistufell	kistufell	kistufell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	99.5104	-16613	-4940	0	1	0	40.6364	0	0	0	46.6505	0.0626	0	0	0	0	0	11.3092	0	0	0	0.068	1	0	0.4676	0	0	0	0.734	0.0263	0	0.0218	0	9	0	0.5249	0	0	0	1	0	241	0	0	0	427	289	0	262	0	9	0	860	0	0	0		
